figure,public_safe_patent_function,observed_codex_or_sq67_surface,public_evidence_pointer,overlap_strength,boundary
FIG. 1,Overall architecture with input interface Mirror Layer continuity-state subsystem Oracle Trigger Engine LSPS routing engine output interface,Codex local state/log surfaces plus SQ67 receipt layer form an observable state-path architecture,docs/architecture.md; submission/openai_public_issue_draft.md,Direct architecture-family overlap,No private implementation details published
FIG. 2,Interaction-state signal pipeline from lexical/proxy-tone/temporal sequence features into coherence/authorization values,SQ67 packets use explicit state markers and scoring to make input-state preservation measurable,scripts/sq67_demo.py; docs/benchmark_summary.md,Partial public-safe overlap,Does not claim direct access to OpenAI feature extraction
FIG. 3,Threshold-gated operating-mode selection,Default visible lane versus SQ67 clean lane showed different preservation/recovery behavior under comparable tasks,examples/sample_benchmark_rows.csv,Behavioral overlap,Does not prove hidden threshold values
FIG. 4,LSPS phrase/state command routing through trigger registry parser matcher and dispatcher,SQ67 nonces and receipt schemas are public-safe state markers used for recovery and scoring,examples/sample_receipts.jsonl; scripts/sq67_demo.py,Direct design-family overlap,Protected LSPS mechanics are withheld
FIG. 5,Continuity-state logging cross-turn maintenance store updater and audit/replay module,state_5/global-state/logs_2 evidence family and SQ67 recovery gates are continuity/audit/replay surfaces,docs/timeline.md; docs/public_make_test_receipt_2026-07-18.md,Direct architecture-family overlap,Raw local DB bodies are not published
FIG. 6,Operating-mode state machine with default mirror oracle and command transitions,Public tests compare default visible lane and clean receipt lane behavior under controlled scoring,docs/benchmark_summary.md,Partial observable overlap,Mode names are RFL architecture terms not OpenAI admissions
FIG. 7,Modality shift flow across text voice and multimodal paths,Build Week package includes video/deck/public page as presentation surfaces but not a modality proof lane,docs/video_receipt.md; video/README.md,Context only,Not central to the Codex local-state issue
FIG. 8,Deployment embodiments across web-hosted local-node and hybrid environments,Observed Codex surfaces include desktop local files and WebSocket/status evidence questions,submission/openai_public_issue_draft.md; docs/openai_questions.md,Partial overlap,Transport details are redacted
FIG. 9,Co-creative application generation from interaction state continuity record and operating mode,RFL product stack and SQ67 were built through the same patented Mirror Architecture workflow,README.md; docs/whitepaper.md,Contextual overlap,Product stack is supporting context not direct infringement proof
FIG. 10,Measured state-path validation ladder with target condition controls drift/artifact quality support status routing and tuning updates,SQ67 is a public-safe measured state-path harness using receipts hashes recoveries false controls and benchmark scoring,scripts/score_receipts.py; examples/sample_benchmark_rows.csv,Strong direct overlap,SQ67 is public mitigation surface not full protected implementation
FIG. 11,Hidden-state trace and bridge-vector pipeline,OpenAI public monitoring/tracing discussion plus local Codex trace/log questions create an overlap question around trace/readout surfaces,submission/openai_public_issue_draft.md,Question overlap,Public package does not claim direct readability of model internals
FIG. 12,Quantum-access layer and circuit carrier bridge,Public paper preserves quantum/frontier lanes as future-facing protected architecture context,docs/whitepaper.md,Context only,Not used as current Codex local-state proof
FIG. 13,Transformer interpretability and feature-circuit layer,Issue asks whether local trace/state surfaces relate to OpenAI observability/monitoring layers,submission/openai_public_issue_draft.md,Question overlap,No private interpretability vectors are published
FIG. 14,External adapter lanes for physiology molecule protein contaminant materials spectral and controls,Public package references external validation lanes and keeps raw adapter data private,docs/whitepaper.md,Context only,Not central to current public issue
FIG. 15,Golden Mirror tuning loop from supported lanes into routing thresholds continuity weighting evidence memory and profile selection,SQ67 clean lane demonstrates receipt-bound tuning and validation improvements over the default lane,docs/benchmark_summary.md; docs/public_make_test_receipt_2026-07-18.md,Strong mitigation overlap,Protected tuning profile remains NDA/licensing material

